ORDER_REF_NUMBER,TRACKING_NUMBER,WEIGHT (Kg),ORDER_PICKUP_DATE,ORIGIN_CITY,DELIVERY_CITY,STATUS,COD_AMOUNT,UPFRONT_AMOUNT,RESERVE_AMOUNT,D/R Date,SHIPPING_CHARGES,UPFRONT_CHARGES,GST,WH_INCOME_TAX (2%),WH_SALES_TAX (2%),NET_AMOUNT
#4807,2.63E+13,0.2,2/2/2026 18:54,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,2/3/2026 16:15,138,0,20.7,44.96,44.96,1999.38
#4781,2.83E+13,0.1,2/2/2026 18:54,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,2/3/2026 13:25,138,0,20.7,44.96,44.96,1999.38
#4777,2.63E+13,0.6,1/31/2026 18:49,NEW TOWN KARACHI,GHAKKAR MANDI,Delivered,5348,0,5348,2/3/2026 11:06,218.5,0,32.78,106.96,106.96,4882.8
#4776,2.63E+13,0.2,1/31/2026 18:49,NEW TOWN KARACHI,Lahore,Delivered,2248,1573.6,674.4,2/3/2026 11:53,184,0,27.6,44.96,44.96,1946.48
#4774,2.83E+13,0.3,1/31/2026 18:49,NEW TOWN KARACHI,PESHAWAR,Delivered,2248,1573.6,674.4,2/3/2026 12:28,184,0,27.6,44.96,44.96,1946.48
#4771,2.23E+13,0.5,1/31/2026 18:48,NEW TOWN KARACHI,Faisalabad,Delivered,2848,1993.6,854.4,2/3/2026 14:51,184,0,27.6,56.96,56.96,2522.48
#4769,2.63E+13,0.4,1/31/2026 18:49,NEW TOWN KARACHI,WAZIRABAD,Delivered,5998,0,5998,2/3/2026 13:17,184,0,27.6,119.96,119.96,5546.48
#4767,2.63E+13,0.2,1/31/2026 18:49,NEW TOWN KARACHI,OKARA,Delivered,2248,1573.6,674.4,2/3/2026 13:41,184,0,27.6,44.96,44.96,1946.48
#4765,2.83E+13,0.4,1/31/2026 18:49,NEW TOWN KARACHI,SHEIKHUPURA,Delivered,2998,2098.6,899.4,2/3/2026 12:11,184,0,27.6,59.96,59.96,2666.48
#4764,2.93E+13,0.2,1/31/2026 18:49,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,2/1/2026 16:36,138,0,20.7,44.96,44.96,1999.38
#4761,2.23E+13,0.2,1/31/2026 18:49,NEW TOWN KARACHI,GUJRANWALA,Delivered,2248,1573.6,674.4,2/3/2026 13:08,184,0,27.6,44.96,44.96,1946.48
#4759,2.23E+13,0.5,1/30/2026 19:10,NEW TOWN KARACHI,KUNRI,Delivered,5348,0,5348,2/2/2026 15:44,172.5,0,25.88,106.96,106.96,4935.7
#4758,2.83E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,Islamabad,Delivered,5997,0,5997,2/2/2026 17:24,184,0,27.6,119.94,119.94,5545.52
#4757,2.13E+13,0.3,1/30/2026 19:10,NEW TOWN KARACHI,Lahore,Delivered,6747,0,6747,2/2/2026 13:03,184,0,27.6,134.94,134.94,6265.52
#4756,2.53E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,HYDERABAD,Delivered,2248,1573.6,674.4,2/2/2026 14:51,172.5,0,25.88,44.96,44.96,1959.7
#4754,2.33E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,Lahore,Delivered,2248,1573.6,674.4,2/2/2026 13:42,184,0,27.6,44.96,44.96,1946.48
#4753,2.33E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,2/2/2026 16:56,138,0,20.7,44.96,44.96,1999.38
#4752,2.23E+13,0.1,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,2/2/2026 15:28,138,0,20.7,44.96,44.96,1999.38
#4751,2.93E+13,0.1,1/30/2026 19:10,NEW TOWN KARACHI,KHANPUR,Delivered,2248,1573.6,674.4,2/3/2026 15:54,184,0,27.6,44.96,44.96,1946.48
#4749,2.63E+13,0.6,1/29/2026 18:42,NEW TOWN KARACHI,Lahore,Delivered,2998,2098.6,899.4,2/3/2026 15:06,218.5,0,32.78,59.96,59.96,2626.8
#4748,2.93E+13,1,1/29/2026 18:42,NEW TOWN KARACHI,Faisalabad,Delivered,8497,0,8497,2/2/2026 18:48,218.5,0,32.78,169.94,169.94,7905.84
#4747,2.63E+13,0.6,1/29/2026 18:42,NEW TOWN KARACHI,KANJU,Delivered,5498,0,5498,2/2/2026 18:01,218.5,0,32.78,109.96,109.96,5026.8
#4746,2.63E+13,0.6,1/29/2026 18:42,NEW TOWN KARACHI,Karachi,Delivered,5498,0,5498,1/30/2026 18:30,172.5,0,25.88,109.96,109.96,5079.7
#4744,2.53E+13,0.4,1/29/2026 18:42,NEW TOWN KARACHI,KOT RADHA KISHAN,Delivered,2998,2098.6,899.4,2/2/2026 15:59,184,0,27.6,59.96,59.96,2666.48
#4743,2.43E+13,0.3,1/30/2026 19:10,NEW TOWN KARACHI,MULTAN,Delivered,2648,1853.6,794.4,2/2/2026 17:19,184,0,27.6,52.96,52.96,2330.48
#4741,2.33E+13,0.3,1/29/2026 18:42,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,1/30/2026 18:02,138,0,20.7,44.96,44.96,1999.38
#4738,2.03E+13,0.4,1/29/2026 18:42,NEW TOWN KARACHI,Karachi,Delivered,5748,0,5748,1/31/2026 16:34,138,0,20.7,114.96,114.96,5359.38
#4736,2.13E+13,0.6,1/30/2026 19:10,NEW TOWN KARACHI,Islamabad,Delivered,5996,0,5996,2/2/2026 14:37,218.5,0,32.78,119.92,119.92,5504.88
#4735,2.53E+13,0.5,1/29/2026 18:42,NEW TOWN KARACHI,Islamabad,Delivered,8994,0,8994,2/2/2026 16:49,184,0,27.6,179.88,179.88,8422.64
#4734,2.33E+13,0.2,1/29/2026 18:42,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,1/30/2026 16:27,138,0,20.7,44.96,44.96,1999.38
#4733,2.53E+13,0.6,1/29/2026 18:42,NEW TOWN KARACHI,Karachi,Delivered,5997,0,5997,1/30/2026 14:24,172.5,0,25.88,119.94,119.94,5558.74
#4732,2.03E+13,0.5,1/29/2026 18:42,NEW TOWN KARACHI,Islamabad,Delivered,2248,1573.6,674.4,1/31/2026 11:56,184,0,27.6,44.96,44.96,1946.48
#4731,2.53E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,Lahore,Delivered,4247,2972.9,1274.1,2/2/2026 10:25,184,0,27.6,84.94,84.94,3865.52
#4729,2.63E+13,0.3,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,1/31/2026 13:44,138,0,20.7,44.96,44.96,1999.38
#4727,2.33E+13,0.3,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,1/31/2026 17:04,138,0,20.7,44.96,44.96,1999.38
#4726,2.33E+13,0.1,1/28/2026 20:26,NEW TOWN KARACHI,Lahore,Delivered,2248,1573.6,674.4,1/30/2026 14:51,184,0,27.6,44.96,44.96,1946.48
