ORDER_REF_NUMBER,TRACKING_NUMBER,WEIGHT (Kg),ORDER_PICKUP_DATE,ORIGIN_CITY,DELIVERY_CITY,STATUS,COD_AMOUNT,UPFRONT_AMOUNT,RESERVE_AMOUNT,D/R Date,SHIPPING_CHARGES,UPFRONT_CHARGES,GST,WH_INCOME_TAX (2%),WH_SALES_TAX (2%),NET_AMOUNT
#2719,26306960001289,0.40,2025-10-07 22:50:28,NEW TOWN KARACHI,Lahore,Delivered,4247.00,2972.90,1274.10,2025-10-10 15:29:00,184.00,0.00,27.60,84.94,84.94,3865.52
#2734,28306960001290,0.30,2025-10-06 23:46:17,NEW TOWN KARACHI,Karachi,Delivered,0.00,0.00,0.00,2025-10-11 15:19:00,138.00,0.00,20.70,0.00,0.00,-158.70
#2725,21306960001292,0.40,2025-10-06 23:46:17,NEW TOWN KARACHI,Lahore,Delivered,5996.00,0.00,5996.00,2025-10-09 10:46:00,184.00,0.00,27.60,119.92,119.92,5544.56
#2705,27306960001294,0.30,2025-10-06 23:46:17,NEW TOWN KARACHI,Islamabad,Delivered,1498.00,1048.60,449.40,2025-10-08 13:10:00,184.00,0.00,27.60,29.96,29.96,1226.48
#2698,24306960001295,0.40,2025-10-06 23:46:17,NEW TOWN KARACHI,LAYYAH,Delivered,2747.00,1922.90,824.10,2025-10-10 15:04:00,184.00,0.00,27.60,54.94,54.94,2425.52
#2745,21306960001297,1.00,2025-10-08 23:12:17,NEW TOWN KARACHI,Islamabad,Delivered,12845.00,0.00,12845.00,2025-10-13 14:17:00,218.50,0.00,32.78,256.90,256.90,12079.92
#2744,21306960001298,1.00,2025-10-07 22:50:28,NEW TOWN KARACHI,Islamabad,Delivered,8247.00,0.00,8247.00,2025-10-14 19:17:00,218.50,0.00,32.78,164.94,164.94,7665.84
#2740,28306960001300,0.90,2025-10-07 22:50:28,NEW TOWN KARACHI,Faisalabad,Delivered,7147.00,0.00,7147.00,2025-10-10 11:44:00,218.50,0.00,32.78,142.94,142.94,6609.84
#2739,26306960001301,0.20,2025-10-07 22:50:28,NEW TOWN KARACHI,SIALKOT,Delivered,3247.00,2272.90,974.10,2025-10-13 13:46:00,184.00,0.00,27.60,64.94,64.94,2905.52
#2737,29306960001303,0.50,2025-10-07 22:50:28,NEW TOWN KARACHI,Lahore,Delivered,5498.00,0.00,5498.00,2025-10-10 10:28:00,184.00,0.00,27.60,109.96,109.96,5066.48
